コード	銘柄名	株数	取得単価	現在値	損益	PER	PBR	ROE	配当利回り	自己資本比率	営業利益率	業種	直近材料	情報源
2810	ハウス食品グループ本社	未保有	対象外	3674	対象外	19.63	1.14	5.81	2.72	66.96	5.76	食料品	📈【B】 自己株式取得状況、投資有価証券売却益見込み。 【ファンダメンタル確認値】現在値3674、PER19.63、PBR1.14、ROE5.81、配当利回り2.72、自己資本比率66.96、営業利益率5.76 【直近材料補強 2026/06/29】バリュエーション: PER19.63倍は中立圏。 クオリティ: ROE5.81%で資本効率改善待ち、自己資本比率66.96%で財務安全性高め。 直近イベント解釈: M&A/提携による成長・再編材料。 セクター材料: 値上げ浸透・原材料価格・円安耐性・インバウンド/外食需要がテーマ。価格改定後の数量減リスクを確認。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=2810 / 株探決算:https://kabutan.jp/stock/finance?code=2810
2811	カゴメ	未保有	対象外	2581	対象外	17.41	1.23	7.08	2.25	52.59	7.69	食料品	➖【C】 2026/04/30 1Q決算、強材料は限定的。 【ファンダメンタル確認値】現在値2581、PER17.41、PBR1.23、ROE7.08、配当利回り2.25、自己資本比率52.59、営業利益率7.69 【直近材料補強 2026/06/29】バリュエーション: PER17.41倍は中立圏。 セクター材料: 値上げ浸透・原材料価格・円安耐性・インバウンド/外食需要がテーマ。価格改定後の数量減リスクを確認。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=2811 / 株探決算:https://kabutan.jp/stock/finance?code=2811
2915	ケンコーマヨネーズ	未保有	対象外	2024	対象外	10.26	0.70	6.83	3.46	65.02	4.50	食料品	➖【C】 PBR0.70・配当3.46だが利益面弱め。 【ファンダメンタル確認値】現在値2024、PER10.26、PBR0.70、ROE6.83、配当利回り3.46、自己資本比率65.02、営業利益率4.50 【直近材料補強 2026/06/29】バリュエーション: PER10.26倍は中立圏、PBR0.7倍でPBR1倍割れ改善余地。 クオリティ: 営業利益率4.5%で採算改善が課題、自己資本比率65.02%で財務安全性高め。 株主還元: 配当利回り3.46%でインカム妙味。 セクター材料: 値上げ浸透・原材料価格・円安耐性・インバウンド/外食需要がテーマ。価格改定後の数量減リスクを確認。 次回チェック: 配当継続性を確認しつつインカム枠で比較可能。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=2915 / 株探決算:https://kabutan.jp/stock/finance?code=2915
2928	ＲＩＺＡＰグループ	未保有	対象外	172	対象外	71.27	2.03	2.85	0.78	30.88	6.63	小売業	📈【A】 26/3期営業利益+488.9、純利益+445.5。 【ファンダメンタル確認値】現在値172、PER71.27、PBR2.03、ROE2.85、配当利回り0.78、自己資本比率30.88、営業利益率6.63 【直近材料補強 2026/06/29】バリュエーション: PER71.27倍で期待先行/割高感に注意。 クオリティ: ROE2.85%で資本効率改善待ち。 株主還元: 配当利回り0.78%で還元妙味は弱め。 セクター材料: インバウンド・値上げ・PB/EC・人件費がテーマ。既存店売上と粗利率が焦点。 次回チェック: 高PERを正当化する成長材料が追加で必要。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=2928 / 株探決算:https://kabutan.jp/stock/finance?code=2928
3031	ラクーンホールディングス	未保有	対象外	569	対象外	36.77	2.64	7.17	3.87	21.60	20.08	情報・通信業	📈【B】 2026/06/11 新サービス開始、有償SO発行。 【ファンダメンタル確認値】現在値569、PER36.77、PBR2.64、ROE7.17、配当利回り3.87、自己資本比率21.60、営業利益率20.08 【直近材料補強 2026/06/29】バリュエーション: PER36.77倍で期待先行/割高感に注意、PBR2.64倍で資産面の割安感は薄い。 クオリティ: 営業利益率20.08%で高収益、自己資本比率21.6%で財務レバレッジに注意。 株主還元: 配当利回り3.87%でインカム妙味。 セクター材料: AI/クラウド/通信値上げ・DX投資・サイバーセキュリティがテーマ。競争環境と投資負担を確認。 次回チェック: 高PERを正当化する成長材料が追加で必要。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=3031 / 株探決算:https://kabutan.jp/stock/finance?code=3031
3046	ジンズホールディングス	未保有	対象外	8120	対象外	21.98	5.59	25.45	1.42	56.46	12.44	小売業	📈【A】 月次と海外事業譲受け、ROE25.45。 【ファンダメンタル確認値】現在値8120、PER21.98、PBR5.59、ROE25.45、配当利回り1.42、自己資本比率56.46、営業利益率12.44 【直近材料補強 2026/06/29】バリュエーション: PER21.98倍は中立圏、PBR5.59倍で資産面の割安感は薄い。 クオリティ: ROE25.45%で資本効率は強め。 セクター材料: インバウンド・値上げ・PB/EC・人件費がテーマ。既存店売上と粗利率が焦点。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=3046 / 株探決算:https://kabutan.jp/stock/finance?code=3046
3079	ディーブイエックス	未保有	対象外	993	対象外	32.28	1.18	3.65	5.04	35.37	0.53	卸売業	📉【D】 決算短信訂正と株式交換・親会社異動。 【ファンダメンタル確認値】現在値993、PER32.28、PBR1.18、ROE3.65、配当利回り5.04、自己資本比率35.37、営業利益率0.53 【直近材料補強 2026/06/29】バリュエーション: PER32.28倍で期待先行/割高感に注意。 クオリティ: ROE3.65%で資本効率改善待ち、営業利益率0.53%で採算改善が課題。 株主還元: 配当利回り5.04%で高配当候補。 セクター材料: 資源/食品/部材商社・円安・在庫評価・株主還元がテーマ。市況依存とキャッシュ創出力を確認。 次回チェック: 高PERを正当化する成長材料が追加で必要。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=3079 / 株探決算:https://kabutan.jp/stock/finance?code=3079
3097	物語コーポレーション	未保有	対象外	4640	対象外	24.03	4.03	16.77	0.86	52.36	7.46	小売業	📈【B】 月次と子会社関連材料。 【ファンダメンタル確認値】現在値4640、PER24.03、PBR4.03、ROE16.77、配当利回り0.86、自己資本比率52.36、営業利益率7.46 【直近材料補強 2026/06/29】バリュエーション: PER24.03倍は中立圏、PBR4.03倍で資産面の割安感は薄い。 クオリティ: ROE16.77%で資本効率は強め。 株主還元: 配当利回り0.86%で還元妙味は弱め。 セクター材料: インバウンド・値上げ・PB/EC・人件費がテーマ。既存店売上と粗利率が焦点。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=3097 / 株探決算:https://kabutan.jp/stock/finance?code=3097
3099	三越伊勢丹ホールディングス	未保有	対象外	4119	対象外	23.49	2.33	9.94	1.94	50.82	14.66	小売業	📈【A】 自己株式取得状況、決算説明会資料。 【ファンダメンタル確認値】現在値4119、PER23.49、PBR2.33、ROE9.94、配当利回り1.94、自己資本比率50.82、営業利益率14.66 【直近材料補強 2026/06/29】バリュエーション: PER23.49倍は中立圏。 直近イベント解釈: M&A/提携による成長・再編材料。 セクター材料: インバウンド・値上げ・PB/EC・人件費がテーマ。既存店売上と粗利率が焦点。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=3099 / 株探決算:https://kabutan.jp/stock/finance?code=3099
3101	東洋紡	未保有	対象外	1648	対象外	13.01	0.68	7.00	2.43	33.99	6.62	繊維製品	📉【D】 業績予想と実績差異の開示。 【ファンダメンタル確認値】現在値1648、PER13.01、PBR0.68、ROE7.00、配当利回り2.43、自己資本比率33.99、営業利益率6.62 【直近材料補強 2026/06/29】バリュエーション: PER13.01倍は中立圏、PBR0.68倍でPBR1倍割れ改善余地。 セクター材料: ブランド/高機能素材・中国/欧米需要・在庫調整がテーマ。為替と消費減速に注意。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=3101 / 株探決算:https://kabutan.jp/stock/finance?code=3101
3103	ユニチカ	未保有	対象外	1032	対象外	11.90	1.11	9.30	0.00	35.69	8.90	繊維製品	📉【D】 債務免除益と構造改善費用、無配。 【ファンダメンタル確認値】現在値1032、PER11.90、PBR1.11、ROE9.30、配当利回り0.00、自己資本比率35.69、営業利益率8.90 【直近材料補強 2026/06/29】バリュエーション: PER11.9倍は中立圏。 株主還元: 配当利回り0%で還元妙味は弱め。 セクター材料: ブランド/高機能素材・中国/欧米需要・在庫調整がテーマ。為替と消費減速に注意。 次回チェック: 割安×ROEのバランスが良く、押し目候補として優先監視。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=3103 / 株探決算:https://kabutan.jp/stock/finance?code=3103
3140	ＢＲＵＮＯ	未保有	対象外	1068	対象外	40.31	2.66	6.61	0.37	55.01	3.03	卸売業	➖【C】 減資、PER高め。 【ファンダメンタル確認値】現在値1068、PER40.31、PBR2.66、ROE6.61、配当利回り0.37、自己資本比率55.01、営業利益率3.03 【直近材料補強 2026/06/29】バリュエーション: PER40.31倍で期待先行/割高感に注意、PBR2.66倍で資産面の割安感は薄い。 クオリティ: 営業利益率3.03%で採算改善が課題。 株主還元: 配当利回り0.37%で還元妙味は弱め。 セクター材料: 資源/食品/部材商社・円安・在庫評価・株主還元がテーマ。市況依存とキャッシュ創出力を確認。 次回チェック: 高PERを正当化する成長材料が追加で必要。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=3140 / 株探決算:https://kabutan.jp/stock/finance?code=3140
3141	ウエルシアホールディングス	未保有	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	小売業	➖【C】 上場廃止済み。 【ファンダメンタル確認値】現在値対象外、PER対象外、PBR対象外、ROE対象外、配当利回り対象外、自己資本比率対象外、営業利益率対象外 【扱い】現行の通常上場株としての比較対象外 【追加確認】通常の上場株比較からは除外候補。ランキング投入時は「投資対象外/参考扱い」とし、代替上場銘柄を確認。	IRBANK/株探/会社IR
3178	チムニー	未保有	対象外	1056	対象外	81.49	3.18	3.90	0.47	40.34	1.86	小売業	➖【C】 月次ありだがPER高・ROE低。 【ファンダメンタル確認値】現在値1056、PER81.49、PBR3.18、ROE3.90、配当利回り0.47、自己資本比率40.34、営業利益率1.86 【直近材料補強 2026/06/29】バリュエーション: PER81.49倍で期待先行/割高感に注意、PBR3.18倍で資産面の割安感は薄い。 クオリティ: ROE3.9%で資本効率改善待ち、営業利益率1.86%で採算改善が課題。 株主還元: 配当利回り0.47%で還元妙味は弱め。 セクター材料: インバウンド・値上げ・PB/EC・人件費がテーマ。既存店売上と粗利率が焦点。 次回チェック: 高PERを正当化する成長材料が追加で必要。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=3178 / 株探決算:https://kabutan.jp/stock/finance?code=3178
